execution_id,vendor,session,coverage,error
763a0587-4965-42a6-b22f-52db96dafde6,claude,d671f7727ad4,complete,False
d6aadc9a-d214-4218-a2a4-3f5f0a74c1a1,codex,61a624a612a8,complete,False
46b84a84-a1cb-474c-9c11-e51892b8618b,claude,246dae3c096f,open,False
dce17f32-451c-4265-b3d0-801e624fc792,codex,b53fdc2e5db1,complete,False
259c0890-b9ff-4496-8d22-c1169951fab7,claude,a276c5a9726b,complete,False
ce4206e6-0be1-45cd-98d8-3fb9c1804737,codex,8c27538be014,complete,False
ab10f3f7-18d1-4a33-ab47-75be53369eb3,codex,10cf3a9683a0,complete,False
53fef134-d18e-4477-8c64-8aff7ae4f88f,claude,352cf9ce3e1c,open,False
9c5bc88c-d76f-46a9-b6eb-98efc217b31b,codex,d37f743600cc,complete,False
71f30da8-0e54-4891-8f49-3094504bfbd2,claude,e5672e0e7564,open,False
88fe6721-6e51-4704-ba38-ed1bcef76ca9,codex,4e5cf01fc447,complete,False
9565cabe-062b-43a9-bff4-0ca42b9e7eb6,codex,c2b7383316af,complete,False
0b64f42a-7cb1-48b2-8e92-e53b935b951d,codex,9fbd706fba77,complete,False
ed46aa1b-bce9-4f38-a160-b12c119d1f5e,claude,5b63718eb957,complete,False
7c91f9fb-9720-45e5-b046-0b1162606cf7,codex,62f25f45c904,complete,False
a43a6880-5207-41c9-a3c5-7523fb24d0f7,codex,6dbfabea5a6c,complete,False
dc3111e5-6673-4a2c-86b9-0c89e5a2c841,claude,35a99437bc45,open,False
fb1b9fdc-9c93-4686-a039-227abf36b52a,claude,d2af3fb7259b,complete,False
9cf1770e-34dd-405c-aa22-a652711e40fe,codex,e8f94b4f66cf,complete,False
69688dac-f5b1-4102-bc66-318cf27ba4eb,codex,54c43dd9b7f0,complete,False
a9df2a66-b0d9-4047-8c62-22c167721888,codex,fb6d8a6923ff,complete,False
40235e26-7a25-4c19-9788-df11a59183b0,claude,03ffd5c381ce,open,False
00b1a84a-2e53-4523-a2c0-9d4f4f918070,codex,5897dbd0dbe4,complete,False
a46bfcb3-7e0c-465e-a473-ec50909149a5,claude,f6751e51342f,complete,False
6615017e-0ac1-4b05-a11a-4919f764fe0f,claude,782cacc670ca,complete,False
a29f0f6e-99e7-4754-a559-3f58c25c84ed,claude,065394585afc,complete,False
c06a2bac-9d37-418c-9466-c3366838eeba,claude,324ad4978af4,open,False
70277118-7815-4dbe-bd94-f105da07a6c3,claude,bcb5653c3170,complete,False
5602a499-35d0-4a07-b7e4-c0f46c0b17ce,claude,89d8a02e56ec,complete,False
0c7fb517-3464-4f6a-b48c-669385e70d1b,codex,d4aa113fe7a0,complete,False
e5017f34-787e-424b-ae5d-65f25fec88e8,claude,2ddd4728e8ef,open,False
7eb0a6d9-c80c-418f-ab9c-8851ef8e9167,claude,91cca1bc1dd7,open,False
345c96d6-bf98-4584-bdd0-4173caf5e50f,claude,c640d7178f17,complete,False
c675e1b0-6abf-47cb-9120-6c504a110a93,claude,d9959d1af667,complete,False
be23e304-c55e-4e0a-abed-202a9660a87b,claude,6793370c34ff,complete,False
896c8f8c-035b-4c87-84aa-d978e54d9faa,claude,9fc0e45b9d87,complete,False
4c42005e-4f87-4b3e-8345-10d03826be3a,claude,87c6f0a12bd2,complete,False
66d0759c-5738-458f-ab4e-2a6587ba5e71,claude,a130d63f1093,complete,False
4a6e76d0-023d-48fd-9a73-774c1ae47382,claude,3f9041a9740a,complete,False
ff4cd646-a214-4c5f-98cb-6020426b5d70,claude,7314cb2f0f37,complete,False
675852be-edec-4c65-a4bd-cbb23ba3ce9e,claude,cb493af6f4b3,open,False
2f108ce3-004d-4cb6-89cf-6e5b839b80fe,claude,9577f0d8e5ce,complete,False
c093f58f-e93a-4a5b-bbb5-efc3519f5864,claude,1a677bf66ace,open,False
c1db8d2e-5c21-456c-8d35-1ae5bd884d8f,codex,cf103f344224,complete,False
66d85824-6da8-4be9-8efb-0652198442e8,claude,5ad757de66a3,complete,False
7bd4b7c1-646f-4f1b-9a5e-41d08aa65d9c,claude,c8efe35537f1,complete,False
25d8197c-5ab1-497e-b5d0-09b64389b45a,codex,de3850167518,complete,False
3e987c63-56f9-438e-911d-c52280d01003,claude,2f9187a6e2c7,complete,False
4676812d-4f83-4e9b-a812-c7d549e42fb3,claude,d6a90543b028,open,False
ad657cf3-e105-4196-83df-958dbcecf513,claude,f2fee7fcc406,complete,False
3803460a-5275-4153-afaf-a5c051987b72,claude,7b6302ebf8d7,complete,False
7832d6f8-9b63-460a-b9ee-38de8aef3065,codex,642553fdf1e2,complete,False
c2bd0548-2e74-4238-8042-8092c64b64f9,claude,66755b78828d,complete,False
36a6a83f-5fca-4683-832c-ccdbc13d707b,claude,c6e25f0340fc,open,False
7adbf914-1ac0-4e6e-aba5-07b9a7399dcb,claude,f307dbceda45,open,False
82d9050e-8ac7-490c-a229-103433e226f4,claude,1bad91f8d688,open,False
151082ac-0f23-4444-9c9c-ac401b8fd8a9,codex,554d6a0f9e48,complete,False
fbe9495f-8725-4a21-b95b-b7ef50124bb8,claude,8f4c28c512ae,open,False
c6f33a10-3f4c-4c22-b853-3991494add01,claude,157c84d0d1e8,open,False
106ba2ad-3289-4206-a17c-51be204e5492,claude,477eb91ac6b5,complete,False
41ec9e44-a13b-4e9a-84ef-a4b4efbfbc4e,codex,7b18c27e19c2,complete,False
8e48d32e-344a-48d0-8683-76ea77318d23,codex,dfda79349db5,complete,False
b7c5d1a9-b84d-443b-b6e2-1678c3679741,codex,33370c8662fe,complete,False
f104fc28-c47a-4b76-8168-f7b02bfa7ebe,codex,0a87be70a8cb,complete,False
cc4d05b4-54f9-4f04-aee4-4e8ab9045fd6,codex,94f691ea27ae,complete,False
8e1ef903-e29f-479c-a4c3-940b54fa7d3d,codex,0fb87badf8b0,complete,False
a918d47e-bb4c-4a32-8609-333632583587,codex,f7bda9b7f69b,complete,False
ba3b5502-3721-492a-a746-5f8aa40fc066,codex,bb568ee17636,complete,False
6e8742ea-95b3-45dc-822e-6c1458327478,codex,6645bd63b7cf,complete,False
46e91f56-77c1-41a5-801b-8bfab774428d,codex,c74749598ae5,complete,False
5a2c6d1e-c8c1-43e4-8768-293dc2021f1b,claude,c436c55e5afc,open,False
bbf14aea-c6f5-459a-abf2-e3435dc3299b,claude,902e399bdb48,open,False
c2533b6a-c3be-4fa6-87f8-a2fc2e484637,claude,3489d6a94233,complete,False
d252ae76-50d4-467c-93bb-04dfcf0bca62,claude,136ac1cd6d14,complete,False
2fa01a56-3f35-4615-b022-0ab0294f6e45,codex,358b205e3295,complete,False
53518df1-681b-4578-822a-5a5b369cbd82,codex,73446b37f5a1,complete,False
083704b6-1447-436d-97d5-48d6a57fd840,codex,b633410316be,complete,False
64296b33-c8e6-4132-9fd9-821dc25e0f16,claude,2aaa17516adc,open,False
2d7e1ab6-6452-4790-8bfa-ea31b75e1d17,claude,fb34216eeeb2,open,False
00c725fa-4d09-40f5-b990-c2ea4360781c,codex,53ce97b642ed,complete,False
f68b3e69-19a2-4a59-b183-5b2003680a4a,codex,5818b74bfe13,complete,False
5e9dd2ea-87d1-4bc7-b331-440f3d4092c3,claude,8ce4228291dc,open,False
52137bb6-da14-47ca-8a7e-65da29b97c76,claude,f09b86021044,open,False
5f330b56-48e0-49ea-a8e2-6df9e48725f1,claude,3a80182b11bf,open,False
d3e3e04f-8f2e-4ffd-b9fa-88cd8b89e0f9,claude,7fd1b0be3160,complete,False
75e04312-3b3c-4786-b5ff-c5dab756a56c,claude,ca5b89875845,complete,False
f560992f-5c61-4062-b6e4-392c0c5743dd,claude,b2b22e70f8a3,complete,False
d05037ae-c0c8-430f-82c3-3d0c4e0e396f,claude,590c1716561b,complete,False
ecfa5547-9e1a-4735-a250-2c1ec316b048,claude,b333923c9457,complete,False
d519329c-81e7-4251-8a38-ebeb2e2a6cef,claude,5c335a24477f,complete,False
36768957-7faf-479a-aeb6-74e85fd17ea7,claude,d666d4cc6403,open,False
2244de24-a3c9-428a-a1de-730166921809,claude,66cc23d2b4ad,complete,False
cde40019-9660-4888-83ce-837783e4e8fa,claude,30daa4f18270,complete,False
b7523aea-4176-405a-ba63-a5a6595c5811,claude,1e7bb4031d41,complete,False
3f862011-3aeb-4137-8648-0b3f9d27f551,claude,4dbcf6604c5f,open,False
0ba846a7-e0f4-4498-be2b-3da6c67afaff,claude,a22763c4279c,complete,False
7ae9491f-4333-464f-ae77-c023ea598e95,claude,f466edbcd650,complete,False
281a8688-32b0-477d-a611-cf4efb10f054,claude,7385ba069344,open,False
2d21a735-9f81-4cff-bd5c-d3932a513a6c,claude,440b8301d256,open,False
2822736a-19f5-4b35-8ea7-ae016a07d8de,claude,0b84bd8045c7,open,False
b0907ee9-3f48-4ced-b9c8-18920c080dbe,claude,48d72aee4eb2,complete,False
f904eb30-07f0-423a-9569-0e41abc6e1f7,claude,407c39f01b24,open,False
855d36dc-3886-4a5e-a127-6bb707c99c0b,claude,78a6ceee5ce3,open,False
5d168aef-e15b-4cab-9ee2-53c195a756f9,claude,e771b5331d27,open,False
0233e98d-087f-454f-9551-c29233b57021,claude,751389578482,open,False
26a28bdf-2657-4f53-b5f8-9222c70d3aea,claude,8d5c7921e085,open,False
244670e3-55b1-4b3a-9289-099ee9c4088f,claude,c71bd2a9b0ef,open,False
6cf12dd3-69dd-45a1-b27c-1880069ab8f4,claude,feed3e9fb5b2,complete,False
2d64aa78-0e92-430f-85f9-d865fbdba287,claude,9de51ed1134a,complete,False
7e55ecb2-7adb-4a28-8d27-1dbb28f0d92e,claude,0bcb2cdaa08d,open,False
cd2dfd5e-d769-4759-87bf-1046b98815b9,claude,1f6bdb32c59e,open,False
9dba39ad-d839-47a5-b6de-731620a3488c,claude,eefb4456740e,open,False
8b357d57-f19c-419d-90a8-85d6a3f72c54,claude,5b9c99ea3ae5,open,False
1c909675-224d-44de-84c3-c88a38ff6f16,claude,281896f3918b,open,False
3b75f34a-aef5-4c42-8483-083711ad43bc,claude,8368484642f7,open,False
19f46728-230f-432d-bddc-f5a6fe3c1f9e,claude,228f10e87e63,open,False
716d182b-72f0-49be-a831-f59b378e4442,claude,3f4329317547,open,False
f47244ad-a700-4807-b836-4287cfb2c4bd,claude,76f26ae865d3,open,False
